preference_id,student_id,area_id,time_submitted
1,123400L,12,2020-03-26 14:26:16
1,123498M,3,2020-03-28 10:23:21
1,123499M,3,2020-03-29 17:05:23
1,132400L,7,2020-03-25 16:55:07
1,143200L,2,2020-03-25 13:01:20
2,123400L,5,2020-03-26 14:26:16
2,123498M,5,2020-03-28 10:23:21
2,123499M,12,2020-03-29 17:05:23
2,132400L,4,2020-03-25 16:55:07
2,143200L,23,2020-03-25 13:01:20
3,123400L,4,2020-03-26 14:26:16
3,123498M,12,2020-03-28 10:23:21
3,123499M,24,2020-03-29 17:05:23
3,132400L,21,2020-03-25 16:55:07
3,143200L,15,2020-03-25 13:01:20
4,123400L,7,2020-03-26 14:26:16
4,123498M,15,2020-03-28 10:23:21
4,123499M,9,2020-03-29 17:05:23
4,132400L,26,2020-03-25 16:55:07
4,143200L,17,2020-03-25 13:01:20
5,123400L,11,2020-03-26 14:26:16
5,123498M,7,2020-03-28 10:23:21
5,123499M,30,2020-03-29 17:05:23
5,132400L,29,2020-03-25 16:55:07
5,143200L,26,2020-03-25 13:01:20
6,123400L,14,2020-03-26 14:26:16
6,123498M,1,2020-03-28 10:23:21
6,123499M,22,2020-03-29 17:05:23
6,132400L,31,2020-03-25 16:55:07
6,143200L,13,2020-03-25 13:01:20
